id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
26486873,Havre de paix au bord de la rivière,91065705,Stéphane,,Lac-Saint-Charles,46.90395,-71.36248,Entire home/apt,165,2,55,2021-10-18,2.44,1,248,30,
26525014,"Superbe Maison familiale (piscine, spa, bbq)",139731407,Julie,,Quartier 5-2,46.89241,-71.19484,Entire home/apt,250,3,8,2018-12-26,0.29,1,0,1,
26563183,Beau petit 3 1/2 en plein coeur du centre ville,137864908,VanEssa,,Vieux-Limoilou,46.82726,-71.23946,Entire home/apt,47,2,11,2020-01-04,0.43,1,0,0,
26605617,Le555 - APARTMENT NEAR OLD QUEBEC (NELLIGAN),29506103,Marie,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.80454,-71.21766,Entire home/apt,102,1,77,2021-10-23,1.94,11,105,38,
26635755,"Nice Queen bedroom, 4 1/2 Downtown StRoch, parking",200225447,Stéphan,,Saint-Sauveur,46.81087,-71.2316,Private room,69,1,62,2019-10-14,1.58,2,24,9,
26732592,Le555 - APARTMENT (ST LAURENT) NEAR OLD TOWN,29506103,Marie,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.8059,-71.21769,Entire home/apt,100,1,126,2021-08-31,3.25,11,95,50,
26734657,Le555 - LOFT NEAR OLD QUEBEC (ST JEAN),29506103,Marie,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.80523,-71.21796,Entire home/apt,96,1,105,2021-10-31,2.65,11,123,31,
26736460,Le555 - LOFT NEAR OLD QUEBEC (FRONTENAC),29506103,Marie,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.80556,-71.2185,Entire home/apt,130,1,74,2019-11-10,1.87,11,10,9,
26736536,App avec terrasse sur le toit au coeur de limoilou,68566877,Nicholas,,Vieux-Limoilou,46.82491,-71.22703,Entire home/apt,71,1,274,2021-10-14,6.78,3,285,51,
26771223,Amsterdam - La Petite Europe,1312217,Etienne,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.8147,-71.20673,Entire home/apt,188,2,189,2021-10-02,4.71,2,28,52,301748
26787661,Best private comfortable BR in a sunny apartment,201439233,Mav,,Montcalm,46.80124,-71.22642,Private room,41,1,104,2019-12-06,2.60,1,0,0,
26835015,Le Kaméléon 3 beds Free indoor parking CITQ#298206,61411254,Ana Maria,,Saint-Sauveur,46.81108,-71.23253,Entire home/apt,136,1,135,2021-09-26,3.42,2,272,23,
26895497,Appartement à 2 minutes à pied du Vieux Québec,194728531,Tu Casa,,Saint-Jean-Baptiste,46.81307,-71.21685,Entire home/apt,83,2,167,2021-10-08,4.16,1,156,24,
26899811,Dtown Luxury Appartement - 3 1/2 au Centre-ville,202362097,Moussa,,Saint-Roch,46.81368,-71.22489,Entire home/apt,872,2,3,2018-08-21,0.08,1,358,0,
26942863,Sympathique chambre chez Boris Vian,53714743,André,,Saint-Sauveur,46.80939,-71.24103,Private room,30,3,22,2019-01-01,0.56,1,0,0,
26959007,Appartement chaleureux dans le Vieux-Québec,115418007,Lise,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81398,-71.21237,Entire home/apt,48,31,6,2019-07-01,0.16,2,0,0,
26971244,"Maison spacieuse, VilleQuébec,  CITQ 301122",156815072,Madeleine,,Quartier 5-1,46.89652,-71.22794,Entire home/apt,350,3,19,2019-10-15,0.48,1,2,5,
27031318,ESPACE COURONNE,35775015,Dave Et Clara,,Saint-Roch,46.81631,-71.22641,Entire home/apt,91,1,135,2021-10-03,3.38,7,259,24,
27052094,Appartement renove,203029897,Sylvia,,Cité Universitaire,46.79113,-71.27096,Entire home/apt,60,3,136,2020-10-24,3.43,2,133,18,
27077273,"Confort, cachet et proximité",203743274,Gilles,,Des Châtels,46.84665,-71.39269,Entire home/apt,99,31,46,2020-02-19,1.15,1,38,0,
27089408,!!! MAISON COMPLÈTE !!! FULL HOUSE Ville Quebec,203859971,Guillaume Jr,,Quartier 4-5,46.85002,-71.26396,Entire home/apt,450,3,2,2018-07-27,0.06,1,0,0,
27141062,Loft dans une résidence calme,68090341,Salah Eddine,,Cité Universitaire,46.77939,-71.30634,Entire home/apt,50,15,1,2021-03-07,0.12,1,0,1,
27168309,Magnifique demeure ancestrale au goût du jour.,20704679,Valéry,,Lairet,46.83171,-71.24144,Entire home/apt,175,2,24,2020-01-02,0.61,1,0,0,
27254037,Heartwarming Condo in Old Quebec City,205271310,Patrycja,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81605,-71.20633,Entire home/apt,75,32,6,2021-01-02,0.20,1,321,4,
27260281,Bel appartement au cœur du Nouvo Saint-Roch,205325113,Isabelle,,Saint-Roch,46.81631,-71.22819,Entire home/apt,99,2,116,2019-12-15,2.94,2,137,17,
27279344,Maison à étage,166441736,Benoit,,Quartier 4-5,46.86088,-71.278,Entire home/apt,70,89,0,,,1,90,0,
27283340,Hébergement en dortoir féminin,59898149,Auberge Hi-Québec,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81283,-71.21062,Shared room,21,1,34,2019-12-24,0.86,9,12,0,
27283373,Hébergement en dortoir masculin,59898149,Auberge Hi-Québec,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81213,-71.21212,Shared room,21,1,15,2019-06-13,0.38,9,11,1,
27327310,"Gîte du Monde
       appart
Vieux-Québec",79365973,Abdel,,Saint-Jean-Baptiste,46.81147,-71.21661,Entire home/apt,160,2,122,2021-10-14,3.23,3,167,28,
27328558,"Gîte du Monde 
          loft
Vieux-Québec",79365973,Abdel,,Saint-Jean-Baptiste,46.81147,-71.21661,Entire home/apt,160,2,116,2021-10-11,3.07,3,155,32,
27329423,"Gîte du Monde
       studio
Vieux-Québec",79365973,Abdel,,Saint-Jean-Baptiste,46.81147,-71.21661,Entire home/apt,130,2,129,2021-09-27,3.29,3,167,33,
27339248,Logement à louer au centre-ville avec un chat :),10969787,Julie-Anne,,Vieux-Limoilou,46.82671,-71.23293,Entire home/apt,90,5,0,,,1,128,0,
27339945,Grosse Maison Centre De Québec VUE SUR LA VILLE,146958208,Nick,,Quartier 4-5,46.84937,-71.274,Entire home/apt,610,1,8,2018-10-07,0.21,2,0,0,
27357625,Vieux-Limoilou : Condo in a former bank building.,206157337,André,,Vieux-Limoilou,46.82433,-71.22541,Entire home/apt,55,31,4,2019-10-29,0.15,17,52,1,
27369700,Nice & cozy flat near all attractions,170995746,Vincent,,Saint-Sauveur,46.8085,-71.23848,Private room,43,1,144,2020-02-17,3.64,1,0,0,
27508487,Superbe condo moderne et chaleureux - Québec,189127773,Samuel,,Quartier 4-3,46.87587,-71.25387,Entire home/apt,52,1,122,2020-07-20,3.13,1,127,19,
27524776,LEGAL Penthouse Loft in the Heart of Vieux-Quebec!,156016818,Serge,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81561,-71.20665,Entire home/apt,187,2,174,2021-10-14,4.50,2,64,78,
27525788,Quebec city @room,143181408,Suzanna,,Val-Bélair,46.85102,-71.42204,Private room,85,1,35,2019-10-27,0.91,1,155,8,
