id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
16892662,Beautiful Water Front House!,40725689,Scott,Westmorland,Shediac,46.23692,-64.56262,Entire home/apt,264,7,37,2021-05-23,0.71,1,220,14,
16893860,"Antique-Filled Bedroom - Queen bed, private bath",62451007,Sébastien & Heather,Westmorland,Shediac,46.21954,-64.53559,Private room,999,1,0,,,4,363,0,
16894685,"2-Bedroom Combo, private bath - Downtown Shediac",62451007,Sébastien & Heather,Westmorland,Shediac,46.22105,-64.5347,Private room,999,1,33,2018-07-28,0.63,4,365,0,
16895589,Bright Bedroom/Ensuite in downtown Victorian villa,62451007,Sébastien & Heather,Westmorland,Shediac,46.22108,-64.53567,Private room,999,1,0,,,4,363,0,
16911794,Robertville close to Bathurst New Brunswick Canada,112596413,Livain,Gloucester,Beresford,47.70941,-65.77814,Private room,520,1,8,2021-06-27,0.20,2,295,3,
16963125,"Warm, Inviting Room with Beautiful View",65411399,Diane,York,Douglas,45.99404,-66.78491,Private room,59,1,125,2019-10-05,2.52,3,116,0,
17040434,Heart of Sackville Apartment - Staghorn Suite,470403,Maggie,Westmorland,Sackville,45.89996,-64.3649,Entire home/apt,72,1,224,2020-07-09,4.15,1,178,12,
17078315,Downtown House next to Queen Sq Park & Market,102506185,Curt,York,Fredericton,45.95497,-66.63906,Entire home/apt,131,4,158,2019-08-05,3.17,6,301,11,
17078685,Downtown Loft next to Queen Square Park & Market,102506185,Curt,York,Fredericton,45.9564,-66.63935,Entire home/apt,156,7,126,2021-10-01,2.41,6,116,14,
17101347,Magnifique chalet en bois ronds fait à la main,114627456,Eric,Madawaska,Saint-Jacques,47.43965,-68.46107,Entire home/apt,180,1,49,2019-10-27,0.95,4,237,2,
17101979,Green  tiny house animaux accepter 20$,114627456,Eric,Madawaska,Saint-Jacques,47.43976,-68.46197,Entire home/apt,95,1,107,2019-08-30,2.71,4,171,48,
17173957,Petite Suite in the Heart of Uptown Saint John!,6540753,Chipman Hill Suites,Saint John,City of Saint John,45.2732,-66.06192,Private room,155,1,11,2021-09-20,0.26,8,301,1,
17183877,Artist's Room at FarmLife Studio and B&B,67064470,Ruth,Albert,Hillsborough,45.87283,-64.66478,Private room,54,2,21,2021-09-05,0.39,4,294,1,
17190524,Gorgeous Bay of Fundy oceanfront near  Fundy Trail,115715506,Jennifer,Saint John,Saint Martins,45.371014,-65.504021,Entire home/apt,150,6,5,2017-08-12,0.10,1,301,0,
17236065,SUSSEX CHALET - POLEY MOUNTAIN,114532687,Unilau,Kings,Waterford,45.68141,-65.38445,Entire home/apt,220,3,17,2018-07-02,0.33,1,0,3,
17282844,Lovely Private Room Surrounded by Beauty,65411399,Diane,York,Douglas,45.99404,-66.78491,Private room,59,1,59,2017-08-09,1.14,3,117,0,
17340638,"Beach front cottage in Grand Barachois, NB",93644538,Lorraine,Westmorland,Shediac,46.22355,-64.33496,Entire home/apt,124,5,18,2020-10-11,0.35,13,0,0,
17341408,"Beach front cottage in Grand Barachois, NB",93644538,Lorraine,Westmorland,Shediac,46.2222,-64.33717,Entire home/apt,146,5,19,2021-09-08,0.49,13,0,8,
