id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1827668,Centrally located 3 bedroom home in Westboro!,6818912,Anne-Marie,,Kitchissippi,45.39533,-75.7582,Entire home/apt,189,30,62,2021-08-26,1.25,1,4,1,
1908873,Mer Bleue Private Apartment,9905548,Nadine,,Cumberland,45.42898,-75.48811,Entire home/apt,95,3,104,2019-01-18,1.33,1,234,5,
1950265,Full Executive Townhome,10085317,Mike,,Gloucester-South Nepean,45.28155,-75.67624,Entire home/apt,175,2,10,2016-07-26,0.13,1,0,0,
2148350,Bright Modern & Spacious - Executive Rental,10964947,Trevor,,College,45.34359,-75.78495,Entire home/apt,92,28,71,2021-01-08,0.89,3,260,6,
2194385,Mini Hotel- Private ensuite room #2,1666028,Muniba,,Alta Vista,45.37881,-75.65746,Private room,79,6,6,2018-08-31,0.07,2,76,0,
2231697,Best Private Room/Bath in Byward,11390230,Meghan,,Rideau-Vanier,45.42493,-75.69181,Private room,93,1,144,2016-12-16,1.67,1,0,0,
2294702,Sleep well. Cast Iron Double Bed,11722130,Andrea,,Rideau-Vanier,45.44036,-75.66556,Private room,60,2,24,2015-06-05,0.38,2,0,0,
2361265,Luxury Downtown 1 Bedroom Condo,5091315,Justyna,,Somerset,45.41671,-75.70046,Entire home/apt,120,60,51,2016-04-23,0.59,1,290,0,
2374455,Charming Eurostyle apartment! PD2,3201295,Greg And Valerie,,Kitchissippi,45.40387,-75.73097,Entire home/apt,69,30,16,2017-09-21,0.22,6,77,1,
2412859,One Bedroom Apt 6 Months,12331568,Marina,,Rideau-Vanier,45.43191,-75.68802,Entire home/apt,65,179,4,2016-04-03,0.06,1,174,0,
2453778,Central Ottawa Micro Condo Studio,12547161,Evaldo,,Somerset,45.41073,-75.69637,Entire home/apt,60,30,292,2018-10-22,3.18,1,283,5,
2474327,Private unit close to Rideau Canal,12656347,Diem,,Capital,45.40896,-75.67849,Entire home/apt,83,2,130,2021-06-24,1.98,1,112,9,
2485960,Mini Hotel - private ensuite #1,1666028,Muniba,,Alta Vista,45.37784,-75.65765,Private room,85,6,5,2017-07-02,0.08,2,46,2,
2636201,"Large, luxurious home in trendy Westboro",13498851,Bob & Kerri,,Kitchissippi,45.38704,-75.75434,Entire home/apt,404,7,1,2019-06-24,0.04,1,153,0,
2674916,Manor Park Terrace Home,8399820,Silvia,,Rideau-Rockcliffe,45.45253,-75.6501,Private room,42,3,25,2017-01-10,0.47,1,361,1,
2694679,Chambre calme et fonctionnelle près centre-ville,2291577,Sylvie,,Rideau-Vanier,45.44123,-75.65477,Private room,48,2,17,2015-02-12,0.22,2,0,0,
2744294,3 Bedroom Executive Apt in Westboro,8166549,Michael,,Kitchissippi,45.40304,-75.74582,Entire home/apt,150,5,35,2019-09-13,0.46,1,0,4,
2863659,Lovely Old Ottawa South Home,14636855,Michael And Christine,,Capital,45.39149,-75.68242,Entire home/apt,124,10,8,2019-06-12,0.10,1,0,0,
2935424,Large and bright apt. near downtown,2291577,Sylvie,,Rideau-Vanier,45.43937,-75.65508,Entire home/apt,89,90,34,2017-07-03,0.39,2,0,0,
2949838,Cozy and  vintage  spot in the heart of Ottawa,374659,Emma And Ed,,Rideau-Vanier,45.42883,-75.69011,Private room,65,1,509,2021-06-07,6.53,1,351,58,
